method,count,sum,max,min,avg,sd
before (?-mix:.*),360,0.3921490878710756,0.27762612800870556,1.3198994565755129e-05,0.0010893030218640989,0.014670852055527095
before /api/*|/admin/api/*,309,0.0037417811836348847,4.969700239598751e-05,6.799993570894003e-06,1.2109324218883122e-05,6.143415958992996e-06
db,461107,0.5647043922217563,0.030079703996307217,2.00001522898674e-07,1.2246710464637411e-06,5.9687245679372916e-05
get_events,43,155.2644777700334,18.010718863995862,0.35589215700747445,3.6108018086054283,3.8913853385319266
get_event,469,323.3472995269258,12.14502587899915,9.109500388149172e-05,0.6894398710595433,0.867460575598698
sanitize_event,182,0.004337037942605093,0.003726476992596872,8.989882189780474e-07,2.382987880552249e-05,0.00027606765622247524
get_login_user,334,0.17500425394973718,0.02105964299698826,1.5999976312741637e-06,0.0005239648321848419,0.0016332881994735118
get_login_administrator,70,0.0819673990336014,0.03168250901217107,1.6999983927235007e-06,0.0011709628433371627,0.0042732683598932985
validate_rank,56,0.11696342297364026,0.06953974899079185,0.00012069300282746553,0.002088632553100719,0.009518518651730472
body_params,364,0.00903375816415064,0.0010232380009256303,1.00000761449337e-07,2.481801693447978e-05,9.926772300991849e-05
halt_with_error,51,,,,,0.0
render_report_csv,12,1.7328480720170774,0.613376088993391,1.2499003787524998e-05,0.1444040060014231,0.2425356874301033
GET /,39,107.3004272810067,11.120532529996126,0.35951524099800736,2.7512930072053003,2.0706785769192306
HEAD /,0,,,,,0.0
